Sr. No.,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE,Postcode_py,address_py
7211,Manipur,Chandel,Chandel T.D.Block,Kapaam,1298335,health and wellness centre PHC,kapaam,27-May-20,Medical ,Bedded Hospital,24.43157706,94.0131944,795135,"NH102C, Purum Chumbang, Chandel tehsil, Chandel District, Manipur, 795135, India"
7212,Manipur,Thoubal,Thoubal C.D.Block,Thoubal Wangmataba Mathak,1298671,Ten Bedded Ayush Hospital,Thoubal Wangmataba,14-Jul-20,Medical ,Bedded Hospital,24.64459,93.99586667,795138,"NH102, Chaobok, Thoubal tehsil, Thoubal District, Manipur, 795138, India"
7213,Manipur,Thoubal,Thoubal C.D.Block,Yairipok Bazar,1298735,CHC Yairipok,Yairipok Bazar,01-Sep-20,Medical ,Community Health Centre,24.676245,94.04749167,795149,"Yairepok, Thoubal tehsil, Thoubal District, Manipur, 795149, India"
7214,Manipur,Churachandpur,Henglep T.D.Block,SILEN,1299589,Leimatak Hospital,Silen,27-Jul-20,Medical ,Bedded Hospital,24.59194667,93.66684,795124,"Henglep tehsil, Churachandpur District, Manipur, 795124, India"
7215,Manipur,Imphal East,Imphal East _II C.D.Block,Keirao Bitra,531238,State  TB Hospital,Keirao Wangkhem,11-Feb-21,Medical ,Bedded Hospital,24.72910833,94.01116333,975003,"Wangkham, Keirao Bitra, Imphal East District, Manipur, 975003, India"
7216,Manipur,Imphal East,Imphal East _II C.D.Block,Yambem,1109114,Community Health Centre,Yambem,21-Jun-20,Medical ,Community Health Centre,24.689715,94.06956667,795149,"Keirao Bitra, Imphal East District, Manipur, 795149, India"
7217,Manipur,Bishnupur,Moirang C.D.Block,Moirang Ward no.8,1301068,Community Health Center,collage gate,01-Jul-20,Medical ,Community Health Centre,24.49257249,93.78476301,795133,"Moirang tehsil, Nambol tehsil, Bishnupur District, Manipur, 795133, India"
7218,Manipur,Imphal East,Imphal East _II C.D.Block,Wangkhem,1102908,State TB Hospital,keirao Wangkhem,25-Jun-20,Medical ,Bedded Hospital,24.72914833,94.01137833,975003,"Wangkham, Keirao Bitra, Imphal East District, Manipur, 975003, India"
7219,Manipur,Imphal West,Imphal West-I C.D.Block,Meitei Langol Tharol Tarung,1302186,Shija Hospital,meitei laangol,23-Jul-20,Medical ,Bedded Hospital,24.83620849,93.91393845,795123,"Lamphelpat, Lamsang, Imphal West District, Manipur, 795123, India"
7220,Manipur,Imphal West,Imphal West-II C.D.Block,yumnam huidrom makha leikai,1302204,rangani hospital,yumnam huidrom,21-Jan-21,Medical ,Bedded Hospital,24.64597639,93.89780021,795009,"Wangoi, Imphal West District, Manipur, 795009, India"
7221,Manipur,Imphal West,Imphal West-II C.D.Block,Thiyam,1302211,wangoi CHC,thiyam,21-Jan-21,Medical ,Bedded Hospital,24.6739765,93.90413821,795009,"Wangoi, Imphal West District, Manipur, 795009, India"
7222,Manipur,Chandel,Chandel T.D.Block,Chandel Christian,201870,district hospital,chandel christian,27-May-20,Medical ,Bedded Hospital,24.31573588,93.98489575,795127,"District Hospital, NH102C, Chandel, Chandel tehsil, Chandel District, Manipur, 795127, India"
7223,Manipur,Imphal East,Imphal East-I C.D.Block,Koirengei,571411,Catholic Medical Centre,Koirengei,23-Jun-20,Medical ,Bedded Hospital,24.88318,93.92046,795002,"Porompat, Imphal East District, Manipur, 795002, India"
7224,Manipur,Ukhrul,Ukhrul T.D.Block,Ukhrul,1070972,District Hospital,Ukhrul,19-Oct-20,Medical ,Bedded Hospital,25.080115,94.33941833,795142,"Hungpung, Ukhrul District, Manipur, India"
7225,Manipur,Ukhrul,Ukhrul T.D.Block,Ukhrul,1070972,Hospital,Ukhrul,19-Oct-20,Medical ,Bedded Hospital,25.12876667,94.37172,795142,"Ukhrul tehsil, Ukhrul District, Manipur, 795142, India"
7226,Meghalaya,East Khasi Hills,Mylliem, Mawdiang Diang,814,NEIGRIHMS Hospital,Mawdiang diang,15-Jun-20,Medical ,Bedded Hospital,25.59236746,91.93924184,793019,"NEIGRIHMS, Bypass Connector, Mawpdang, Mawpat, East Khasi Hills District, Meghalaya, 793019, India"
7227,Meghalaya,East Khasi Hills,Mawkynrew, Kharang,697,Kong Barr Memorial Hospital,Kharang,09-Jun-20,Medical ,Bedded Hospital,25.46796167,92.01412,,"Mawkynrew, East Khasi Hills District, Meghalaya, India"
7228,Meghalaya,East Khasi Hills,Pynursla, Pynursla,997,community health center,pynursla,28-Feb-21,Medical ,Community Health Centre,25.30873358,91.91200069,793110,"Laitsophie, Pynursla, East Khasi Hills District, Meghalaya, India"
7229,Meghalaya,East Khasi Hills,Mawkynrew, Thangsning,1054,Extensiob of Robert Hospital,Thangsning,11-Jun-20,Medical ,Bedded Hospital,25.484505,91.91646,793010,"Khatarshnong Laitkroh, East Khasi Hills District, Meghalaya, 793010, India"
7230,Meghalaya,East Khasi Hills,Mawkynrew, Thangsning,1054,Johns Herbal Nursing Home,Thangsning,09-Jun-20,Medical ,Bedded Hospital,25.48384667,91.91901,793010,"Khatarshnong Laitkroh, East Khasi Hills District, Meghalaya, 793010, India"
7231,Meghalaya,South Garo Hills,Chokpot,Alagre,23365,Alagre Community Health Centre,Alagre ,23-Mar-20,Medical ,Community Health Centre,25.33885483,90.30700154,794005,"Alagre, CHC, ODR123, Gambegre, West Garo Hills District, Meghalaya, 794005, India"
7232,Meghalaya,East Khasi Hills,Shella Bholaganj,Saitsohpan,938290,Sohra CHC,Saitsohpen,27-Jan-21,Medical ,Community Health Centre,25.27241625,91.73468038,793108,"Saitsohpen, Lower Sohra, Sohra (Cherrapunji), Shella Bholaganj, East Khasi Hills District, Meghalaya, 793108, India"
7233,Meghalaya,East Garo Hills,Kharkutta,Imsambal,431877,Imsambal Sub Center ,Insambal,04-May-20,Medical ,Bedded Hospital,25.84786314,90.92437648,783122,"Kharkutta, North Garo Hills District, Meghalaya, 783122, India"
7234,Meghalaya,South Garo Hills,Gasuapara,Ruga Songmong,927386,Rugapara CHC,Ruga Songmong,04-Mar-20,Medical ,Community Health Centre,25.26314313,90.27252183,,"Gasuapara, South Garo Hills District, Meghalaya, India"
7235,Meghalaya,South Garo Hills,Gasuapara,Jatrakona-I,458066,Jatrakona Health Sub center ,Jatrakona,04-Mar-20,Medical ,Community Health Centre,25.20207706,90.29373516,,"NH217, Gasuapara, South Garo Hills District, Meghalaya, India"
7236,Meghalaya,Jaintia,Thadlaskein,Sabahmuswang,930212,Woodland Hospital,Sabahmuswang,13-Jun-20,Medical ,Bedded Hospital,25.46907063,92.23960079,793150,"Woodland  WK Hospital, Woodland hospital road, Jowai, Thadlaskein, West Jaintia Hills District, Meghalaya, 793150, India"
7237,Meghalaya,East Khasi Hills,Pynursla, Pynter,996,"Sub Centre, Pynter",Pynter,27-Feb-21,Medical ,Community Health Centre,25.2621563,91.96326049,,"Pynursla, East Khasi Hills District, Meghalaya, India"
7238,Meghalaya,West Garo Hills,Selsella,Selsella,969807,Selsella community health centre,Selsella,02-Jun-20,Medical ,Community Health Centre,25.69298639,90.01339502,794105,"Selsella, CHC, Selsella, West Garo Hills District, Meghalaya, 794105, India"
7239,Meghalaya,East Khasi Hills,Mawphlang,Khliehlyngkhoi,701,dispensary,khlieh lyngkhoi,12-May-20,Medical ,Community Health Centre,25.504355,91.61580333,793115,"Mawsynram, East Khasi Hills District, Meghalaya, India"
7240,Meghalaya,East Khasi Hills,Mawphlang,Khliehlyngkhoi,701,st vincent de paul health center,khliehlyngkhoi,12-May-20,Medical ,Community Health Centre,25.5058,91.616105,793115,"Mawsynram, East Khasi Hills District, Meghalaya, India"
7241,Meghalaya,East Khasi Hills,Mawphlang, Mawthwan,908,Community Health center,Mawthwan Sohiong,12-May-20,Medical ,Community Health Centre,25.50976,91.71731167,793115,"Sohiong, CHC, NH106, Mawphlang, East Khasi Hills District, Meghalaya, 793115, India"
7242,Meghalaya,East Garo Hills,Kharkutta,Adokgri,13835,Chotcholja Sub Centre,Chotcholja,30-Apr-20,Medical ,Community Health Centre,25.89841667,90.88640667,783134,"Dudhnai, Goalpara District, Assam, 783134, India"
7243,Meghalaya,East Garo Hills,Kharkutta,Ildek Akong,431057,SUB CENTRE Ildek Akong,Ildek Akong,02-May-20,Medical ,Bedded Hospital,25.82993041,90.96647129,783122,"Kharkutta, North Garo Hills District, Meghalaya, 783122, India"
7244,Meghalaya,East Garo Hills,Kharkutta,Badaka,60631,Badaka,Badaka Sub Centre,02-May-20,Medical ,Bedded Hospital,25.88318975,90.97063172,783122,"Kharkutta, North Garo Hills District, Meghalaya, 783122, India"
7245,Meghalaya,East Khasi Hills,Shella Bholaganj,Ichamati,430162,Community Health Center,Ichamati,12-Jun-20,Medical ,Community Health Centre,25.168855,91.69047333,793107,"Shella Bholaganj, East Khasi Hills District, Meghalaya, 793107, India"
7246,Meghalaya,Jaintia,Amlarem,Nongtalang Main,788797,Nongtalang Community Health Center,Nongtalang Main,12-Jun-20,Medical ,Community Health Centre,25.21114866,92.05918605,793109,"Nongtalang, CHC, NH206, Sohkha South, Nongtalang, Amlarem, West Jaintia Hills District, Meghalaya, 793109, India"
7247,Meghalaya,South Garo Hills,Gasuapara,Gasuapara,349895,Gasuapara Health sub Center,Gasuapara,04-Mar-20,Medical ,Community Health Centre,25.20236925,90.34048758,,"NH217, Gasuapara, South Garo Hills District, Meghalaya, India"
7248,Meghalaya,Ribhoi,Umling,Nongpoh Proper,788750,Civil hospital nongpoh,Nongpoh,12-Jun-20,Medical ,Bedded Hospital,25.90953863,91.87777599,793102,"Nongpoh Civil Hospital, NH6, Umling, Ri-Bhoi District, Meghalaya, 793102, India"
7249,Meghalaya,Jaintia,Thadlaskein,Ialong,446851,Jowai Civil Hospital,Ialong,23-Jun-20,Medical ,Community Health Centre,25.46794785,92.26122429,793150,"Jowai Civil Hospital, NH6, Thadlaskein, West Jaintia Hills District, Meghalaya, 793150, India"
7250,Meghalaya,Jaintia,Thadlaskein,Ialong,446851,Ferrando Home Care and Support Centre,Ialong,13-Jun-20,Medical ,Bedded Hospital,25.46447606,92.27700996,793150,"NH6, Thadlaskein, West Jaintia Hills District, Meghalaya, 793150, India"
7251,Meghalaya,West Khasi Hills,Nongstoin,Maweit,689632,Camino Dispensary,Maweit,08-Jun-20,Medical ,Bedded Hospital,25.43741367,91.07772687,793119,"Nongstoin, West Khasi Hills District, Meghalaya, India"
7252,Meghalaya,West Khasi Hills,Ranikor,Ranikor,911018,Ranikor  Community  Health Center ,Ranikor ,05-May-20,Medical ,Community Health Centre,25.22205139,91.24725234,793106,"Ranikor, South West Khasi Hills District, Meghalaya, 793106, India"
7253,Meghalaya,West Khasi Hills,Mawshynrut,Nongkyna,788710,CHC Riangdo,Nongkyna,18-Mar-20,Medical ,Community Health Centre,25.67702997,91.07869068,793119,"Riangdo, CHC, NH127B, Mawshynrut, West Khasi Hills District, Meghalaya, 793119, India"
7254,Meghalaya,Ribhoi,Umsning,Bhoilymbong (Lumsohpieng),152855,CHC,Lumsohpieng,11-Jun-20,Medical ,Community Health Centre,25.70775667,92.022675,793103,"Mawlasnai, Umsning, Ri-Bhoi District, Meghalaya, 793103, India"
7255,Meghalaya,South Garo Hills,Gasuapara,Ramchenga,901518,Ramchenga CHC,Ramchenga,11-Mar-20,Medical ,Community Health Centre,25.16737622,90.43331969,,"NH217, Gasuapara, South Garo Hills District, Meghalaya, India"
7256,Meghalaya,West Khasi Hills,Mawkyrwat,Mawkyrwat,689714,COMMUNITY HEALTH CENTRE,MAWKYRWAT ,11-Jun-20,Medical ,Community Health Centre,25.36557021,91.45786247,793114,"Mawkyrwat, CHC, Mawkyrwat, South West Khasi Hills District, Meghalaya, 793114, India"
7257,Meghalaya,West Khasi Hills,Mairang,Nongkhlaw,788690,Nongkhlaw CHC,Nongkhlaw,09-Jun-20,Medical ,Community Health Centre,25.68700162,91.6370958,793120,"Nongkhlaw CHC, Mairang, Eastern West Khasi Hills District, Meghalaya, 793120, India"
7258,Meghalaya,Ribhoi,Umling,Marmain Nongbah,681713,Secred Heart Health center Marmain ,Marmain ,14-Feb-20,Medical ,Bedded Hospital,26.02947494,92.0119571,,"Umling, Ri-Bhoi District, Meghalaya, India"
7259,Meghalaya,East Garo Hills,Kharkutta,Chibongga,220605,Sub Centre,Chibongga,02-May-20,Medical ,Bedded Hospital,25.91043804,90.85702594,783122,"Kharkutta, North Garo Hills District, Meghalaya, 783122, India"
7260,Meghalaya,Ribhoi,Umling,Pahamsyiem,804648,BETHANY hospital,Pahamsyiem,12-Jun-20,Medical ,Bedded Hospital,25.90018896,91.8776577,793102,"Bethany Hospital Outreach, NH6, Nongpoh, Umling, Ri-Bhoi District, Meghalaya, 793102, India"
7261,Meghalaya,East Garo Hills,Resubelpara,Resubelpara,921801,Community Health Centre,Resubelpara,03-May-20,Medical ,Community Health Centre,25.89973695,90.61028668,794108,"Resubelpara, CHC, Resubelpara, North Garo Hills District, Meghalaya, 794108, India"
7262,Meghalaya,West Garo Hills,Dalu,BARENGAPARA,101800,Community Health Centre,Dalu,23-Jan-21,Medical ,Community Health Centre,25.23269667,90.20794833,794103,"SH12, Dalu, West Garo Hills District, Meghalaya, 794103, India"
7263,Meghalaya,West Garo Hills,Dalu,BARENGAPARA,101800,MCH and Family Welfare Dept,Barengapara ,13-May-20,Medical ,Community Health Centre,25.2311705,90.2105824,794005,"NH217, Dalu, West Garo Hills District, Meghalaya, 794005, India"
7264,Meghalaya,East Garo Hills,Kharkutta,Dokongsi A,1293379,Dokongsi Subcenter,Dokongsi,04-May-20,Medical ,Bedded Hospital,25.79317885,90.90211255,783122,"Kharkutta, North Garo Hills District, Meghalaya, 783122, India"
7265,Meghalaya,East Khasi Hills,Mawsynram,Mawsynram Dongrum,689869,Mawsymram Community Health Centre,Dongrum,06-Jun-20,Medical ,Community Health Centre,25.29535951,91.57918461,793113,"Mawsynram CHC, Mawsynram Internal Road, Mawsynram Sohklong, Mawsynram Dongrum, Mawsynram, East Khasi Hills District, Meghalaya, 793113, India"
7266,Meghalaya,West Garo Hills,Betasing,Bolsalgre,173846,Ampati Civil Hospital ,Bolsalgre Ampati ,25-Feb-20,Medical ,Bedded Hospital,25.49447553,89.9426065,794115,"Civil Hospital, Ampati, SH12, Betasing, South West Garo Hills District, Meghalaya, 794115, India"
7267,Meghalaya,South Garo Hills,Chokpot,Chokpotgre,231262,Community Health Centre,Chokpot,16-Mar-20,Medical ,Community Health Centre,25.32283447,90.4210587,794005,"Chokpot, CHC, Chokpot, South Garo Hills District, Meghalaya, 794005, India"
7268,Meghalaya,West Garo Hills,Zikzak,M/Ganj Bazar,634974,Community Health Centre,Mahendraganj Saglipara,17-Mar-20,Medical ,Community Health Centre,25.29832571,89.86396884,794106,"Mahendraganj CHC, SH12, Mahendraganj, Zikzak, South West Garo Hills District, Meghalaya, 794106, India"
7269,Meghalaya,Ribhoi,Umsning,Umsawlum,1073839,holy cross health centre,umsawlum,12-Jun-20,Medical ,Bedded Hospital,25.67182923,91.88440438,793122,"Umsning, Ri-Bhoi District, Meghalaya, 793122, India"
7270,Meghalaya,East Garo Hills,Kharkutta,Wageasi,1101466,CHC,Wageasi,07-May-20,Medical ,Community Health Centre,25.81738667,90.79373667,794110,"Wageasi, PHC, NH217, Kharkutta, North Garo Hills District, Meghalaya, 794110, India"
7271,Meghalaya,Jaintia,Laskein,Laskein,621651,Laskein Community Health Centre,Laskein,19-Jun-20,Medical ,Community Health Centre,25.51611833,92.4118,793150,"Laskein, West Jaintia Hills District, Meghalaya, India"
7272,Meghalaya,East Garo Hills,Kharkutta,Chilpara,223664,Sub Centre,Chilpara,01-May-20,Medical ,Bedded Hospital,25.93209524,90.79927007,783122,"Kharkutta, North Garo Hills District, Meghalaya, 783122, India"
7273,Meghalaya,Jaintia,Khliehriat,Sutnga,1297149,Community Health Centre,wailong,08-Jun-20,Medical ,Community Health Centre,25.37326262,92.43324987,793200,"Sutnga, CHC, Sutnga, Khliehriat, East Jaintia Hills District, Meghalaya, 793200, India"
7274,Meghalaya,West Garo Hills,Dadenggre,Dadenggre,239579,Govt Community Health Centre,Dadenggre,04-Mar-20,Medical ,Community Health Centre,25.70895388,90.18658221,794109,"Dadenggre, CHC, VR18, Dadenggiri, West Garo Hills District, Meghalaya, 794109, India"
7275,Meghalaya,Jaintia,Amlarem,Amshipai,1292516,Rasongli Nursing Home Amshipai,Amshipai,04-Feb-21,Medical ,Bedded Hospital,25.28720851,92.09707495,793161,"Rasongsli Nursing Home, NH206, Amlarem, West Jaintia Hills District, Meghalaya, 793161, India"
7276,Meghalaya,Jaintia,Thadlaskein,Ummulong,1073417,ALOYSIUS HOSPITAL,Ummulong,10-Jun-20,Medical ,Bedded Hospital,25.52778642,92.13624075,793151,"NH6, Thadlaskein, West Jaintia Hills District, Meghalaya, India"
7277,Meghalaya,Ribhoi,Umsning,Umsaw,1297359,nepa hospital,nepa barapani,12-Jun-20,Medical ,Bedded Hospital,25.68270864,91.88876972,793122,"Umsning, Ri-Bhoi District, Meghalaya, 793122, India"
7278,Meghalaya,East Garo Hills,Kharkutta,Bakanda,1293328,Sub Centre Baksalpara,Bakanda,02-May-20,Medical ,Bedded Hospital,25.92951894,90.85782904,783134,"Kharkutta, North Garo Hills District, Meghalaya, India"
7279,Meghalaya,East Garo Hills,Kharkutta,Waramja,1103237,Waramja ,Waramja Sub Centre ,02-May-20,Medical ,Bedded Hospital,25.8466761,90.95595202,783122,"Kharkutta, North Garo Hills District, Meghalaya, 783122, India"
7280,Meghalaya,East Khasi Hills,Mawphlang,Ladumrisain,1297653,Mawphlang CHC,Ladumrisain,22-May-20,Medical ,Community Health Centre,25.46027347,91.76371538,793121,"Mawphlang, CHC, Shillong-Mawphlang-Mawsynram road, Mawphlang, East Khasi Hills District, Meghalaya, 793121, India"
7281,Meghalaya,South Garo Hills,Gasuapara,Dimapara,302955,Dimapara health sub center,Dimapara,04-Mar-20,Medical ,Community Health Centre,25.22921737,90.24899919,794103,"NH217, Gasuapara, South Garo Hills District, Meghalaya, India"
7282,Meghalaya,Ribhoi,Jirang,Patharkhmah,836984,Community Health Centre,Patharkhmah,31-Mar-20,Medical ,Community Health Centre,25.882235,91.61198,793123,"Patharkhmah, CHC, Jirang, Ri-Bhoi District, Meghalaya, 793123, India"
7283,Meghalaya,West Khasi Hills,Mairang,Mairang,1296686,Mairang CHC Mairang,Mairang,05-Jun-20,Medical ,Community Health Centre,25.56342879,91.64109839,793120,"Mairang, Eastern West Khasi Hills District, Meghalaya, 793120, India"
7284,Meghalaya,West Khasi Hills,Mairang,Mairang,1296686,Holy Cross Hospital,Mairang,04-Jun-20,Medical ,Bedded Hospital,25.56075951,91.63074726,793120,"Mairang, Eastern West Khasi Hills District, Meghalaya, 793120, India"
7285,Meghalaya,West Khasi Hills,Mairang,Mairang,1296686,Mairang CHC,Mairang,05-Jun-20,Medical ,Community Health Centre,25.56342879,91.64109839,793120,"Mairang, Eastern West Khasi Hills District, Meghalaya, 793120, India"
7286,Meghalaya,Ribhoi,Umling,Umden Nongtuh,1296408,Mamma Dellamore Centre,Umden,14-Feb-20,Medical ,Bedded Hospital,25.96467784,91.99096011,793102,"Umden, PHC, Umling, Ri-Bhoi District, Meghalaya, 793102, India"
7287,Meghalaya,Jaintia,Khliehriat,Khliehriat West,1297143,CHC Khliehriat,"Khliehriat west, East Jaintia Hills",11-Jun-20,Medical ,Community Health Centre,25.35954446,92.36802269,793200,"Khliehriat CHC, NH6, Khliehriat, East Jaintia Hills District, Meghalaya, 793200, India"
7288,Meghalaya,West Khasi Hills,Mairang,Mairang,1296686,Tirot Sing Memorial Hospital,Sangshong,04-Jun-20,Medical ,Bedded Hospital,25.55445447,91.63255479,793120,"Tirot Sing Memorial Hospital, NH106, Mairang, Eastern West Khasi Hills District, Meghalaya, 793120, India"
7289,Mizoram,Aizawl,Thingsulthliah,Saitual,938292,"District Hospital, Saitual",Saitual,04-Jun-20,Medical ,Community Health Centre,23.68214174,92.96346069,796261,"Sub-District Hospital,Saitual, NH6, Thingsulthliah, Saitual District, Mizoram, 796261, India"
7290,Mizoram,Lawngtlai,Chawngte,Chawngte,212115,Community Health Centre,Chawngte,13-Jan-21,Medical ,Community Health Centre,22.61675546,92.63824354,796772,"CHC,Chawngte, Kamalanagar, Chawngte, Lawngtlai District, Mizoram, 796772, India"
7291,Mizoram,Lawngtlai,Chawngte,Ajasora,19863,sub centre,Ajasora,13-Jan-21,Medical ,Community Health Centre,22.43214548,92.63750196,796770,"Chawngte, Lawngtlai District, Mizoram, India"
7292,Mizoram,Aizawl,Aibawk,Falkawn,327857,Hospital,Falkawn,08-Jun-20,Medical ,Bedded Hospital,23.62407,92.72700333,796005,"Muallungthu, Aibawk, Aizwal District, Mizoram, 796005, India"
7293,Mizoram,Champhai,Ngopa,Ngopa,781214,CHC,Ngopa,11-Jun-20,Medical ,Community Health Centre,23.88114558,93.21180566,796290,"CHC Ngopa, NH102B, Ngopa, Champhai District, Mizoram, 796290, India"
7294,Mizoram,Lawngtlai,Chawngte,Mondirasora,713866,Health Sub Centre,Mondirasora,13-Jan-21,Medical ,Community Health Centre,22.49185145,92.62754023,796891,"Chawngte, Lawngtlai District, Mizoram, India"
7295,Mizoram,Champhai,Khawzawl,Biate,159538,"Community Health Centre, Biate","Dawmdawiin Veng, Biate",17-Jun-20,Medical ,Community Health Centre,23.25133333,93.119865,796370,"CHC, Biate, East Lungdar (Pt), Khawzawl District, Mizoram, 796370, India"
7296,Mizoram,Champhai,Khawzawl,Champhai II,199217,District Hospital Champhai,Vengsang,02-Jun-20,Medical ,Community Health Centre,23.48009167,93.309595,796321,"Champhai, Champhai District, Mizoram, 796321, India"
7297,Mizoram,Kolasib,Thingdawl,Vairengte,1084914,CHC,Vairengte,10-Jun-20,Medical ,Community Health Centre,24.49786263,92.76123644,788114,"NH306, Vairengte, Bilkhawthlir, Kolasib District, Mizoram, 788114, India"
7298,Odisha,Ganjam,Digapahandi,Bamakoi,84375,CHC at Bamokoi,Digapahandi,25-Nov-19,Medical ,Community Health Centre,19.28542411,84.54016065,761042,"CHC, Bomkei, SH29, Dhanaghar, Nuagaon, Ganjam District, Odisha, 761042, India"
7299,Odisha,Angul,Banarpal,Banarpal,86883,Comunity Health Center Banarpal,Banarpal,04-Dec-19,Medical ,Community Health Centre,20.84384167,85.21498167,759104,"NH149, Angul, Barnapal, Biswanathpur, Banarpal, Angul District, Odisha, 759104, India"
7300,Odisha,Koraput,Bandhugaon,Bandhugaon,89005,Community Health  Centre,Bandhugaon,01-Dec-19,Medical ,Community Health Centre,18.9326208,83.2642344,764027,"SH51, Bandhugaon, Koraput District, Odisha, 764027, India"
7301,Odisha,Mayurbhanj,Bangiriposi,Bangriposi,91195,Bangriposi CHC,Bangriposi,04-Dec-19,Medical ,Community Health Centre,22.15239752,86.54224672,757032,"Bangiriposi, Mayurbhanj District, Odisha, India"
7302,Odisha,Deogarh,Barkote,Banparada,94335,Community  Health Centre,Bamparda,02-Dec-19,Medical ,Community Health Centre,21.48046566,85.08003488,768110,"CHC, Bampada, NH49, Bamparda, Barkot, Debagarh District, Odisha, 768110, India"
7303,Odisha,Angul,Angul,Bantala,95389,C H C,Bantala,02-Jan-20,Medical ,Community Health Centre,20.74161648,85.06405498,759132,"Bantala, Angul District, Odisha, 759132, India"
7304,Odisha,Kandhamal,Balliguda,Barakhama,98915,CHC Barakhama,Barakhama,23-Jan-20,Medical ,Community Health Centre,20.2419942,83.83414485,762110,"CHC, Barakhama, SH41, Baliguda, Kandhamal District, Odisha, 762110, India"
7305,Odisha,Keonjhar,Joda,Basudevpur,113105,Community Health Centre,Basudevpur,27-Nov-19,Medical ,Community Health Centre,22.02862167,85.51769833,758041,"C.H.C. BASUDEVPUR, NH520, Rimuli, Champua, Kendujhar District, Odisha, 758041, India"
7306,Odisha,Ganjam,Aska,Balisira,82111,Community Health Centre,Balisira Aska,22-Nov-19,Medical ,Community Health Centre,19.69927869,84.63859914,761110,"NH157, Asika, Ganjam District, Odisha, 761110, India"
7307,Odisha,Balangir,Belpara,Belpada,123497,Community Health Center,Belpada ,29-Nov-19,Medical ,Community Health Centre,20.58897009,82.97050057,767026,"CHC, Belpara, SH42, Belpāra, Belpara, Balangir District, Odisha, 767026, India"
7308,Odisha,Dhenkanal,Dhenkanal,Beltikiri,123765,CHC Beltikiri,Beltikiri,26-Nov-19,Medical ,Community Health Centre,20.69137087,85.68402805,759027,"Community Health Center Beltikiri, Dhenkanal Sadar, Dhenkanal District, Odisha, 759027, India"
7309,Odisha,Keonjhar,Ghasipura,Sainkul,938022,Community Health Centre Sainkul,Sainkul,07-Dec-19,Medical ,Community Health Centre,21.11912198,86.11443845,758043,"CHC, Sainkul, NH20, Jajpur Road, Sainkul, Kendujhar District, Odisha, 758043, India"
7310,Odisha,Keonjhar,Hatadihi,Salania,941130,Community Health Centre,Salania,03-Dec-19,Medical ,Community Health Centre,21.07115123,86.28490706,756121,"CHC, Salania, Nandipada, Kendujhar District, Odisha, 756121, India"
7311,Odisha,Malkangiri,Mathili,Salimi,942834,medical,salimi,25-Jan-20,Medical ,Community Health Centre,18.59528347,82.06714137,764044,"PHC, Salimi, Mathili, Malkangiri District, Odisha, 764044, India"
7312,Odisha,Nawarangpur,Nowrangpur,Sanamosigam,947450,community health center Sanamasigam,sanamasigam,03-Dec-19,Medical ,Community Health Centre,19.21183833,82.449455,764063,"CHC, Sanamasigam, Raipur - Visakhapatnam Expressway, Bade Rajpur Tahsil, Umarkote, Nabarangapur P.S, Nabarangapur District, Odisha, 764063, India"
7313,Odisha,Mayurbhanj,Bahalda,Bahalda,70092,Bahalda CHC,bahalda,28-Dec-19,Medical ,Community Health Centre,22.38556862,86.08272622,757046,"Bahalda, Mayurbhanj District, Odisha, 757046, India"
7314,Odisha,Nawarangpur,Jharigam,Jharigam,463440,chc jharigam,jharigam,12-Feb-20,Medical ,Community Health Centre,19.71996,82.36982167,764076,"OPD, Jharigam, Umerkote - Malgam Rd, Jharigaon, Jharigan, Nabarangapur District, Odisha, 764076, India"
7315,Odisha,Balasore,Basta,Barmadhia,106184,CHC BASTA BALASORE,Basta Balasore Odisha,16-Nov-19,Medical ,Community Health Centre,21.69746042,87.06243852,756029,"Basta, Baleshwar District, Odisha, 756029, India"
7316,Odisha,Bhadrak,Bhadrak,Barpada,107256,CHC BARAPADA,BARAPADA,19-Nov-19,Medical ,Community Health Centre,21.08963438,86.41937159,756100,"SH53, Bhadrak, Bhadrak Rural, Bhadrak District, Odisha, 756100, India"
7317,Odisha,Kalahandi,Kalampur,Kalampur,486811,CHC Kalampur,kalampur,16-Dec-19,Medical ,Community Health Centre,19.61390833,82.88432167,766013,"Jayapatna, Kalahandi District, Odisha, 766013, India"
7318,Odisha,Malkangiri,Kalimela,Kalimela,489912,CBC kalimela,kalimela,28-Nov-19,Medical ,Bedded Hospital,18.06845811,81.74661037,764047,"CHC, Kalimela, NH326, Kalimela, Malkangiri District, Odisha, 764047, India"
7319,Odisha,Malkangiri,Kalimela,Kalimela,489912,PHC AT KALIMELA ,KALIMELA ,15-Dec-19,Medical ,Bedded Hospital,18.0684533,81.74660088,764047,"CHC, Kalimela, NH326, Kalimela, Malkangiri District, Odisha, 764047, India"
7320,Odisha,Balasore,Nilagiri,Berhampur,126333,Community Health center,Raj Berhampur,22-Nov-19,Medical ,Community Health Centre,21.53009039,86.65195096,756058,"Berhampur, Baleshwar District, Odisha, 756058, India"
