Sr. No.,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
5003,Kerala,Kasaragod,Manjeshwar,Kumbala,596942,cooperative hospital,kumbala,02-Sep-19,Medical ,Bedded Hospital,12.5926834,74.94629384
5004,Kerala,Kasaragod,Manjeshwar,Kumbala,596942,kasaragod district cooperative hospital,kumbala,02-Sep-19,Medical ,Community Health Centre,12.59240042,74.94957418
5005,Kerala,Kasaragod,Manjeshwar,Kumbala,596942,community health centre ,kumbala,02-Sep-19,Medical ,Community Health Centre,12.59041009,74.94850803
5006,Kerala,Thiruvananthapuram,Varkala,Mudiyakkodu,720708,hospital,cherunniyoor,25-Oct-19,Medical ,Bedded Hospital,8.7246687,76.756903
5007,Kerala,Kollam,Anchal,Mukkada Jn,722546,PARAKKATTU HOSPITAL,MUKKADA JN ANCHAL,16-Sep-19,Medical ,Bedded Hospital,8.925808333,76.91674
5008,Kerala,Palakkad,S.K.Puram,Ummanazhy,1073288,Krishna clinic Ummanazhy,Ummanazhy,30-Aug-19,Medical ,Bedded Hospital,10.89645622,76.49340094
5009,Kerala,Kottayam,Uzhavoor,Uzhavoor,1081412,DR KR NARAYANAN MEMORIAL GOVERNMENT SPECIALITY HOSPITAL ,UZHAVOOR PO KOTTAYAM ,03-Sep-19,Medical ,Bedded Hospital,9.785068631,76.61157668
5010,Kerala,Kozhikode,Tuneri,Nadapuram junction,674566,Gov  Hospital Nadapuram,Nadapuram,25-Sep-19,Medical ,Bedded Hospital,11.68215667,75.65202
5011,Kerala,Kannur,Kuthuparamba,Kunnothparamba,602057,hospital,kunnothparamba,03-Sep-19,Medical ,Bedded Hospital,11.75550333,75.61400167
5012,Kerala,Thiruvananthapuram,Kilimanoor,Kuthirathadam,608959,medical ,EHC Poly clinic ,19-Oct-19,Medical ,Community Health Centre,8.767252117,76.88114463
5013,Kerala,Kollam,Kottarakkara,Kuzhimathikkadu,610313,Lakshmi trust hospital,Kuzhimathikkad,18-Sep-19,Medical ,Bedded Hospital,8.95323999,76.70605189
5014,Kerala,Kozhikode,Tuneri,Valayam,1085973,Valayam C H C,Valayam,30-Sep-19,Medical ,Community Health Centre,11.72180667,75.66817667
5015,Kerala,Kollam,Sasthamkotta,Kanakakunnu Jn,195864,Community health center,Sooranadu north,04-Sep-19,Medical ,Community Health Centre,9.103855309,76.62426589
5016,Kerala,Wayanad,Kalpetta,Meppadi Jn,698682,CHC ,meppady,31-Aug-19,Medical ,Community Health Centre,11.55830889,76.13089773
5017,Kerala,Wayanad,Kalpetta,Meppadi Jn,698682,Punarjani ayurveda co operative hospital,meppady,31-Aug-19,Medical ,Bedded Hospital,11.5532495,76.13087751
5018,Kerala,Kozhikode,Kunnummel,Maruthonkara,682722,Famil health center ,Maruthonkara ,11-Jan-20,Medical ,Community Health Centre,11.64385903,75.79057576
5019,Kerala,Ernakulam,Mulanthuruthy,Mattathankadavu,687877,Varsha Hospital ,Varsha Hospital Mulanthuruthy ,07-Sep-19,Medical ,Bedded Hospital,9.90115511,76.39167945
5020,Kerala,Alappuzha,Ambalapuzha,Vandanam west,1087226,bedded hospital,ayurvedic dispensary,17-Sep-19,Medical ,Bedded Hospital,9.411445,76.34557833
5021,Kerala,Wayanad,Kalpetta,Vazhavatta,1090855,soubadra ayurvedha hospital,kalpata,02-Sep-19,Medical ,Bedded Hospital,11.6247762,76.15382936
5022,Kerala,Malappuram,Areacode,Vilayil,1097579,presanthi ayurveda,vilayil ,24-Oct-19,Medical ,Bedded Hospital,11.20874582,76.00994328
5023,Kerala,Kozhikode,Thodannur,Villiapally,1097648,MJ hospital,villiapally,23-Sep-19,Medical ,Bedded Hospital,11.54962167,75.63016667
5024,Kerala,Malappuram,Malappuram,Melmuri,697698,Al Abeer Educity,Melmuri,01-Sep-19,Medical ,Bedded Hospital,11.08881667,76.07999833
5025,Kerala,Alappuzha,Mavelikara,kunnam,601901,Pvt hospital,St Jerome hospital,10-Oct-19,Medical ,Bedded Hospital,9.2506,76.57104667
5026,Kerala,Alappuzha,Mavelikara,Kurathikadu,603539,CHC,"kurathikad
thekkekara
mavelikkara",17-Oct-19,Medical ,Community Health Centre,9.20617492,76.55997287
5027,Kerala,Thiruvananthapuram,Chirayinkeezh,Mudapuram,719858,govt Ayurveda hospital,mudapuram,22-Nov-19,Medical ,Bedded Hospital,8.66044,76.81939667
5028,Kerala,Ernakulam,Vazhakkulam,Mepparathupady,698693,Government  hospital ,Government  hospital ,26-Sep-19,Medical ,Bedded Hospital,10.07505771,76.46007604
5029,Kerala,Kollam,Vettikkavala,Mercy Hospital,698861,MERCY HOSPITAL,VALAKOM,24-Aug-19,Medical ,Bedded Hospital,8.964137126,76.83423644
5030,Kerala,Idukki,Idukki,punnayar,1242372,Health center,keerithodu po,03-Oct-19,Medical ,Community Health Centre,9.94476781,76.95796943
5031,Kerala,Kozhikode,Perambra,Chakkitappara,194332,little flower hospital,chakkitapara,09-Sep-19,Medical ,Bedded Hospital,11.57422167,75.81687167
5032,Kerala,Ernakulam,Vazhakkulam,Vengola Society Padi,1094397,Mental  hospital ,Mental  hospital ,25-Sep-19,Medical ,Bedded Hospital,10.08375197,76.46595678
5033,Kerala,Kollam,Chavara,Kuzhamkulam,610291,HAMhospital,Kuzhamkulam,17-Sep-19,Medical ,Community Health Centre,9.005916064,76.57290472
5034,Kerala,Kottayam,Erattupetta,Theekoy Jn,1205473,Govt Ayurvedha Hospital,Theekoy P O Kottayam,03-Sep-19,Medical ,Bedded Hospital,9.69990304,76.80488275
5035,Kerala,Thiruvananthapuram,Athiyannur,Venpakal ,1095484,COMMUNITY HEALTH CENTRE VENPAKAL,Venpakal Venpakal PO ,23-Aug-19,Medical ,Community Health Centre,8.383348128,77.06650372
5036,Kerala,Thiruvananthapuram,Varkala,Vettoor,1096201,SSN Medical Mission Hospital ,Varkala,06-Sep-19,Medical ,Bedded Hospital,8.72972439,76.73369197
5037,Kerala,Palakkad,Nenmara,AYINAMPADAM,1242601,Avitis hospitals,Ayinampadam,28-Sep-19,Medical ,Bedded Hospital,10.59259841,76.58297263
5038,Kerala,Idukki,Idukki,Pattayamkudy,1242399,chc,pulikathoty,09-Oct-19,Medical ,Community Health Centre,9.99112872,76.85947587
5039,Kerala,Kollam,Oachira,Madathil School Jn,637814,Kripa hospital,Madathil jn,28-Sep-19,Medical ,Community Health Centre,9.112041231,76.54264776
5040,Kerala,Kollam,Chavara,Titanium Jn,1059970,Chavaracammunittyhealthcenter,Chavara,28-Aug-19,Medical ,Community Health Centre,9.000848362,76.53640527
5041,Kerala,Kozhikode,Balussery,Mamboyil - mappurath tahzhe,1082396,community health center,mampoyil ullyeri,09-Oct-19,Medical ,Community Health Centre,11.42205833,75.76181833
5042,Kerala,Idukki,Azhutha,Vagamon,1084302,life line hospital,vagamon,13-Sep-19,Medical ,Bedded Hospital,9.68923615,76.90652733
5043,Kerala,Alappuzha,Kanjikuzhy,Arthungal,1194137,bedded hospital,st Sebastian visitation hospital,14-Sep-19,Medical ,Bedded Hospital,9.65780706,76.29936309
5044,Kerala,Idukki,Idukki,Upputhodu,1242467,Dispencery ,upputhodu,08-Oct-19,Medical ,Community Health Centre,9.88152746,77.0034204
5045,Kerala,Ernakulam,Parakkadavu,Station Kadavu,1194271,Taluk hospital,parakkadavu block panchayath taluk hospital puthenvelikara,01-Sep-19,Medical ,Community Health Centre,10.1854144,76.24586285
5046,Kerala,Kottayam,Pampady,Paika Hospital Junction,1194571,Community health centre paika ,Poovarani po kottayam ,17-Sep-19,Medical ,Community Health Centre,9.651625,76.724565
5047,Kerala,Kottayam,Pampady,Kayyalapadi Junction,1194639,Meenadom grama panchayat Ayurveda hospital ,Meenadom po kottayam ,30-Aug-19,Medical ,Bedded Hospital,9.550921667,76.62311833
5048,Kerala,Ernakulam,Vazhakkulam,Canalppalam,188384,KPS HOSPITAL ,KPS HOSPITAL ,26-Sep-19,Medical ,Bedded Hospital,10.05866275,76.45924003
5049,Kerala,Palakkad,Thrithala,Chalissery,195729,communitty health centre ,chalissery,03-Oct-19,Medical ,Bedded Hospital,10.7369005,76.08830184
5050,Kerala,Palakkad,Thrithala,Kumaranellur,596136,communitty health center ,kumaranellur,06-Oct-19,Medical ,Community Health Centre,10.78795304,76.05164249
5051,Kerala,Kannur,Thalasseri,Kurichiyil,604131,bedded hospital,kurichiyil,06-Oct-19,Medical ,Bedded Hospital,11.72025667,75.52006833
5052,Kerala,Kollam,Anchal,Kuruvikonam,606632,GOVT AYURVEDIC HOSPITAL,Kuruvikkonam,27-Sep-19,Medical ,Bedded Hospital,8.953865,76.92310667
5053,Kerala,Kollam,Chadayamangalam,Malamperoor,658445,GOVT AYURVEDHA HOSPITAL,MALAPPEROOR,05-Oct-19,Medical ,Bedded Hospital,8.891823333,76.8653
5054,Kerala,Kannur,Taliparamba,ladak,1194529,Family Health centre,Ladak,05-Sep-19,Medical ,Community Health Centre,12.23611333,75.48239667
5055,Kerala,Thrissur,Chavakkad,punnayur pwd rd,1194580,Health Center,Health Center,25-Sep-19,Medical ,Community Health Centre,10.63235768,76.02207136
5056,Kerala,Malappuram,Malappuram,Schoolpadi,1205516,Al Shafi Kotakal Ayurvedic Hospital,Arichol,24-Sep-19,Medical ,Bedded Hospital,11.00507167,76.02068167
5057,Kerala,Thrissur,Ollukkara,Nambyar Road Jn1,1205571,medical,JP clinic,25-Sep-19,Medical ,Community Health Centre,10.490045,76.282305
5058,Kerala,Palakkad,Nenmara,Mangalam Dam,1206050,st joseph hospital,mangalam dam,28-Sep-19,Medical ,Bedded Hospital,10.52453304,76.53717023
5059,Kerala,Palakkad,Malampuzha,Kunnam para,1206116,santhigiri ayurveda medical college,olassery,25-Sep-19,Medical ,Bedded Hospital,10.72712239,76.70300604
5060,Kerala,Pathanamthitta,Elanthur,Thekkemala,1206184,the obed healing hospital thekkemala,the obed healing hospital thekkemala,27-Sep-19,Medical ,Bedded Hospital,9.323248333,76.713665
5061,Kerala,Kottayam,Pampady,Kattakunnu,1194688,Gawrisankara Ayurveda hospital ,Vellore po kottayam ,02-Sep-19,Medical ,Bedded Hospital,9.57785,76.615335
5062,Kerala,Alappuzha,Chengannur,Pandanadu west,1194773,community health center,pandanadu,26-Sep-19,Medical ,Community Health Centre,9.324121,76.5765437
5063,Kerala,Kozhikode,Kunnummel,Kuttiyadi,609672,Government Taluk Hospital,Kuttiyadi,17-Sep-19,Medical ,Bedded Hospital,11.65528,75.74938667
5064,Kerala,Kannur,Payyanur,padiottuchal south,1194848,Ayurveda Dispensary,Padiyottuchsl,04-Sep-19,Medical ,Community Health Centre,12.2529592,75.334467
5065,Kerala,Kannur,Payyanur,padiottuchal south,1194848,Malabar Hospital,Padichal,04-Sep-19,Medical ,Bedded Hospital,12.25233667,75.33462667
5066,Kerala,Thrissur,Kodakara,chengaloor,1206977,ayurveda hospital,chengaloor,23-Oct-19,Medical ,Bedded Hospital,10.40558519,76.30154176
5067,Kerala,Kottayam,Pallom,Nalppathin kavala,1204372,Homeo college aathurashramam,Kurichy,05-Sep-19,Medical ,Bedded Hospital,9.502856667,76.53398167
5068,Kerala,Idukki,Elemdesam,udumbannoor,1069985,Hospital ,Udumbannor po Thodupuzha ,27-Aug-19,Medical ,Bedded Hospital,9.90536849,76.81572544
5069,Kerala,Idukki,Elemdesam,udumbannoor,1069985,Gov ayurveda hospital ,Udumbannor po Thodupuzha ,27-Aug-19,Medical ,Community Health Centre,9.90609204,76.81285507
5070,Kerala,Kozhikode,Balussery,Ulliyeri,1071587,Nalanda Hospital Ulliyeri,Ulliyeri,07-Sep-19,Medical ,Bedded Hospital,11.45517215,75.77096894
5071,Kerala,Palakkad,Thrithala,Mala,657447,Rajah healthy acres pvt ltd,mala,03-Oct-19,Medical ,Bedded Hospital,10.76321959,76.10044076
5072,Kerala,Pathanamthitta,Mallappally,Malampara,658433,community  health centre ,kunnumthanam  po,04-Sep-19,Medical ,Community Health Centre,9.441358987,76.61302171
5073,Kerala,Ernakulam,Vadavucode,Vadavucode,1082919,CHC ,CHC Puthenkurish ,29-Sep-19,Medical ,Community Health Centre,9.97745443,76.4266705
5074,Kerala,Wayanad,Kalpetta,Valal,1085604,Family Health Centre,Kottathara,26-Dec-19,Medical ,Community Health Centre,11.6665836,76.01097842
5075,Kerala,Alappuzha,Chengannur,Kakkada,1194822,mss hospital,kakkada,17-Oct-19,Medical ,Bedded Hospital,9.2445818,76.6603095
5076,Kerala,Kannur,Payyanur,kozhichal,1194839,kudumba kshema upakendram,meenthulli,31-Dec-19,Medical ,Community Health Centre,11.8758708,75.3726166
5077,Kerala,Kannur,Payyanur,thavidisseri,1194856,Kudumba Kshema Upakendra,Thavidisery,04-Oct-19,Medical ,Community Health Centre,12.16872333,75.279185
5078,Kerala,Kannur,Payyanur,thavidisseri,1194856,Govt Ayurveda Dispensari,Purakkunnu,04-Oct-19,Medical ,Community Health Centre,12.16611167,75.28511833
5079,Kerala,Kollam,Mukhathala,Vadakke mukku,1194907,PREETHI HOSPITAL,vadakke mukku,15-Sep-19,Medical ,Bedded Hospital,8.90039373,76.6824911
5080,Kerala,Idukki,Thodupuzha,Vazhithala,1090880,Mercy Hospital ,Vazhithala po,03-Sep-19,Medical ,Bedded Hospital,9.8841235,76.64388135
5081,Kerala,Idukki,Thodupuzha,Vazhithala,1090880,Mary matha Hospital ,Vazhithala po,03-Sep-19,Medical ,Bedded Hospital,9.88341757,76.64171751
5082,Kerala,Ernakulam,Alengad,Veliyathunadu,1092852,Govt Ayurveda  hospital ,Govt Ayurveda  hospital ,12-Sep-19,Medical ,Community Health Centre,10.14284866,76.30864254
5083,Kerala,Kannur,Taliparamba,vilayancode,1194495,Govt Ayurveda College Kannur,Pariyaram,11-Oct-19,Medical ,Bedded Hospital,12.07317833,75.28740167
5084,Kerala,Kottayam,Uzhavoor,Kuravilangadu,1204689,TALUK HEADQUARTERS HOSPITAL ,KURAVILANGADU PO KOTTAYAM ,07-Sep-19,Medical ,Bedded Hospital,9.756674767,76.55515373
5085,Kerala,Kottayam,Uzhavoor,Kuravilangadu,1204689,CHAITHANYA TRUST HOSPITAL ,KURAVILANGADU PO KOTTAYAM ,07-Sep-19,Medical ,Bedded Hospital,9.761658311,76.56472921
5086,Kerala,Thiruvananthapuram,Athiyannur,Uchakada,1067946,SINDUJA HOSPITAL,BALARAMAPURAM PO ,07-Sep-19,Medical ,Bedded Hospital,8.395449794,77.02409489
5087,Kerala,Malappuram,Perinthalmanna,Four cent Colony,1204790,Ayurveda dispencery ,Four cent colony,03-Sep-19,Medical ,Bedded Hospital,10.9589895,76.20187528
5088,Kerala,Kottayam,Vazhoor,Ponnakkalkunnu,1204843,PNPM Hindu Medical Mission Hospital,Ponkunnam PO Kottayam,03-Sep-19,Medical ,Bedded Hospital,9.557963982,76.76421977
5089,Kerala,Malappuram,Kondotty,Vazhakkad,1090810,IQRAA HOSPITAL,VAZHAKKAD,07-Sep-19,Medical ,Bedded Hospital,11.247745,75.95082667
5090,Kerala,Thiruvananthapuram,Perumkadavila,Vellerada,1093414,White mission homeo hospital ,vellarada,02-Sep-19,Medical ,Bedded Hospital,8.42855142,77.19298586
5091,Kerala,Thiruvananthapuram,Perumkadavila,Vellerada,1093414,Ruckmoni devi memorial hospital ,Vellarada ,02-Sep-19,Medical ,Bedded Hospital,8.441998272,77.18773296
5092,Kerala,Malappuram,Vengara,Nedupparambu,1094318,vangara CHC,vengara,18-Oct-19,Medical ,Community Health Centre,11.04954314,75.9838457
5093,Kerala,Alappuzha,Bharanikavu,Vettikkode,1096147,Nature life hospital,"vettikkode
charumood",14-Sep-19,Medical ,Bedded Hospital,9.17232968,76.58461275
5094,Kerala,Alappuzha,Bharanikavu,Vettikkode,1096147,Pvt hospital,St Thomas mission hospital,16-Nov-19,Medical ,Bedded Hospital,9.169505,76.581975
5095,Kerala,Thiruvananthapuram,Pothencode,VETTUTHURA,1096247,community health centre,community health  centre,19-Oct-19,Medical ,Community Health Centre,8.575643613,76.84284722
5096,Kerala,Kannur,Taliparamba,medical college,1194494,Medical College Kannur,Pariyaram,11-Oct-19,Medical ,Bedded Hospital,12.070908,75.2933203
5097,Kerala,Kottayam,Pampady,Elamgulam,1194576,Government Ayurveda hospital elikulam ,Koorali po kottayam ,17-Sep-19,Medical ,Bedded Hospital,9.6066,76.73086167
5098,Kerala,Kottayam,Vazhoor,Karakattukunnu,1204890,Navayoga Ayurvedic Hospital,Champakkara PO Kottayam,31-Aug-19,Medical ,Bedded Hospital,9.527027425,76.61292532
5099,Kerala,Kottayam,Pampady,Manarcaadu junction,1205475,Beded hospital ,Base hospital manarcadu,21-Aug-19,Medical ,Bedded Hospital,9.59079,76.57810167
5100,Kerala,Kottayam,Pampady,Kuttyakunnu,1205476,Cardiff cardio diabetic centre ,Manarcad po kottayam ,09-Oct-19,Medical ,Bedded Hospital,9.583811667,76.58472333
5101,Kerala,Kollam,Anchal,Venchembu,1205611,GOVT AYURVEDIC HOSPITAL,VENCHEMBU,27-Sep-19,Medical ,Bedded Hospital,8.981153333,76.89824333
5102,Kerala,Kollam,Anchal,Kulathupuzha,1205675,BHARATH NURSING HOME,KULATHUPUZHA,06-Sep-19,Medical ,Bedded Hospital,8.9078659,77.05476153
5103,Kerala,Ernakulam,Pampakuda,Ambalapadi,1205826,Government Ayurveda hospital mannathoor,Government Ayurveda hospital Mannathoor,06-Sep-19,Medical ,Bedded Hospital,9.909382583,76.55804236
5104,Kerala,Ernakulam,Mulanthuruthy,Puthumnapadi,1092949,A P Varkey mission hospital,AP VarKey mission hospital Arakkunnam,06-Sep-19,Medical ,Bedded Hospital,9.884920643,76.44786006
5105,Kerala,Thiruvananthapuram,Athiyannur,Venganoor,1094294,SIDDHA AND AYURVEDA HOSPITAL ,VIZHINJAM VENGANOOR PO,17-Sep-19,Medical ,Bedded Hospital,8.396070055,77.00065708
5106,Kerala,Thiruvananthapuram,Parassala,Viralipuram,1098172,JOSEPH NADAR MEMORIAL HOSPITAL ,VIRALY UCHAKKADA PO ,30-Aug-19,Medical ,Bedded Hospital,8.316008588,77.09279724
5107,Kerala,Thiruvananthapuram,Vellanad,Vithura,1099567,Athreya Research centre hospital ,theviyode ,22-Oct-19,Medical ,Bedded Hospital,8.674327899,77.09662263
5108,Kerala,Thiruvananthapuram,Vellanad,Vithura,1099567,VV HOSPITAL ,vithura ,22-Oct-19,Medical ,Bedded Hospital,8.672913642,77.08873648
5109,Kerala,Alappuzha,Chengannur,Aalakkodu,1194402,sanjivani multispeciality hospital,"alakkodu cheriyanad
cheganoor",19-Oct-19,Medical ,Bedded Hospital,9.25965235,76.59580428
5110,Kerala,Kottayam,Pampady,Koorali Junction,1194566,Loude matha Ayurveda clinic and panchakarma centre ,Koorali po kottayam ,29-Aug-19,Medical ,Bedded Hospital,9.598295,76.73126667
5111,Kerala,Malappuram,Perinthalmanna,Padambi,1206897,M E S medical college,Panambi,24-Sep-19,Medical ,Bedded Hospital,10.9775568,76.25567134
5112,Kerala,Palakkad,Kollengode,Nanniyode,1207665,CHC nanniyode,nanniyode,30-Sep-19,Medical ,Community Health Centre,10.64491123,76.77861081
5113,Kerala,Idukki,Thodupuzha,thodupuzha,1243667,Karuna Hospital ,Thodupuzha ,23-Sep-19,Medical ,Bedded Hospital,9.90006484,76.72094291
5114,Kerala,Alappuzha,Chengannur,Venmony thazham,1194813,hospital,St Mary hospital,11-Oct-19,Medical ,Bedded Hospital,9.2331581,76.6109353
5115,Kerala,Kannur,Payyanur,koluvally,1194832,Kudumba Kshema Kendram Koluvally,koluvally,18-Sep-19,Medical ,Community Health Centre,12.29211167,75.43996833
5116,Kerala,Idukki,Thodupuzha,thodupuzha,1243667,St Josephs Clinic,Thodupuzha po,31-Aug-19,Medical ,Bedded Hospital,9.90326133,76.71678412
5117,Kerala,Idukki,Thodupuzha,thodupuzha,1243667,Mound seenai Hospital ,Thodupuzha po,31-Aug-19,Medical ,Bedded Hospital,9.9016715,76.71439647
5118,Kerala,Idukki,Thodupuzha,thodupuzha,1243667,St Marys Hospital ,Thodupuzha po,31-Aug-19,Medical ,Bedded Hospital,9.89243208,76.7153364
5119,Kerala,Idukki,Thodupuzha,thodupuzha,1243667,Chazhikattu Hospital ,Thodupuzha po,31-Aug-19,Medical ,Bedded Hospital,9.89764411,76.7097621
5120,Kerala,Idukki,Thodupuzha,thodupuzha,1243667,Archana Hospital ,Thodupuzha po,29-Aug-19,Medical ,Bedded Hospital,9.90304707,76.71043215
5121,Kerala,Idukki,Thodupuzha,thodupuzha,1243667,Idukki District Panchayath District Hospital ,Thodupuzha po,29-Aug-19,Medical ,Bedded Hospital,9.90011852,76.72685777
5122,Kerala,Kottayam,Lalam,Bharananganam,155912,IHM Hospital Marygiri,Bharananganam PO Kottayam,26-Sep-19,Medical ,Bedded Hospital,9.70351265,76.7199603
5123,Kerala,Pathanamthitta,Koipuram,Kumbanadu,596981,Fellowship  Mission  Hospital,kumbanadu  PO  Thiruvalla ,31-Aug-19,Medical ,Bedded Hospital,9.370390399,76.65524188
5124,Kerala,Kollam,Pathanapuram,Kundayam,600607,Ayurvedha dispensory,Kundayam,26-Sep-19,Medical ,Bedded Hospital,9.08011801,76.84215587
5125,Kerala,Ernakulam,Parakkadavu,Kunnukara,602068,govt homeoppathy dispensary kunnukara,govt homeoppathy dispensary kunnukara,02-Sep-19,Medical ,Community Health Centre,10.1560266,76.29483039
5126,Kerala,Ernakulam,Parakkadavu,Kunnukara,602068,govt ayurveda dispensary kunnukara,govt ayurveda dispensary kunnukara,02-Sep-19,Medical ,Community Health Centre,10.15580472,76.29491807
5127,Kerala,Ernakulam,Parakkadavu,Kurumasserry,606198,dr pakkai memorial hospital kurumassery,dr pakkai memorial hospitalkurumassery,08-Sep-19,Medical ,Bedded Hospital,10.17831539,76.3301775
5128,Kerala,Kannur,Payyanur,peringome north,1194858,Taluk Hospital,Perighome,02-Sep-19,Medical ,Bedded Hospital,12.22407333,75.31527167
5129,Kerala,Kannur,Payyanur,peringome north,1194858,Taluk Hospital Peringome,Peringome,02-Sep-19,Medical ,Bedded Hospital,12.222935,75.31208167
5130,Kerala,Kottayam,Uzhavoor,Manjoor,1204722,Arogyamanthra Ayurveda Hospital,Manjoor P O Kottayam,30-Sep-19,Medical ,Bedded Hospital,9.711773333,76.50347167
5131,Kerala,Thrissur,Irinjalakuda,Mision Hospital Start,1212714,pullur hospital,pullur,30-Oct-19,Medical ,Bedded Hospital,10.34380227,76.23557785
5132,Kerala,Pathanamthitta,Parakode,Maroor,1212828,community health center,community health center enadimangalam maroor po,06-Sep-19,Medical ,Community Health Centre,9.122583333,76.82077833
5133,Kerala,Thrissur,Chavakkad,punnukavu tripatta junction,1194602,santhi nirsing home,punnukavu,01-Nov-19,Medical ,Bedded Hospital,10.68104051,75.99115267
5134,Kerala,Kottayam,Pampady,Anikkad Junction,1194659,Nirmala hospital annickad ,Annickad east po kottayam ,04-Sep-19,Medical ,Bedded Hospital,9.603285,76.69604333
5135,Kerala,Alappuzha,Chengannur,Vanmazhy east,1194768,vanmazhy medical center,"venmazhy
cheganoor",15-Nov-19,Medical ,Bedded Hospital,9.253020287,76.60605669
5136,Kerala,Ernakulam,Kothamangalam,Nellikuzhi,1194802,Government ayurvedic dispensary,Government ayurvedic dispensary cheruvattoor,28-Sep-19,Medical ,Bedded Hospital,10.05653641,76.57390424
5137,Kerala,Idukki,Devikulam,Vattavada,1090386,CHC,vattavada,28-Sep-19,Medical ,Community Health Centre,10.18615309,77.25767432
5138,Kerala,Kannur,Irikkur,Vayathoor,1090754,ELJE  Ayurvedha hospital,Ulikkal,04-Sep-19,Medical ,Bedded Hospital,12.04271739,75.66640943
5139,Kerala,Kannur,Payyanur,pulingome,1194834,Karunya Medical Centre,Pulingome,18-Sep-19,Medical ,Bedded Hospital,12.29158,75.40795
5140,Kerala,Pathanamthitta,Ranny,Vechoochira,1090971,community health center,community Health center Ranni Block panchayath vechoochira po,31-Aug-19,Medical ,Community Health Centre,9.42509649,76.85301096
5141,Kerala,Kottayam,Uzhavoor,Vellakkalu,1093077,Omshree Sidha Hospital ,Vellakkalu,17-Sep-19,Medical ,Bedded Hospital,9.720963836,76.57441199
5142,Kerala,Kottayam,Vaikom,Veruvally,1095919,CommunityHealthCentre,EdayazhamVaikom,25-Aug-19,Medical ,Bedded Hospital,9.686567984,76.4199662
5143,Kerala,Kottayam,Vazhoor,Koonam Menga,1204882,Bishop Kurialachery Nature cure Ayurveda Hospital,Edeyirikkapuzha Kottayam,23-Sep-19,Medical ,Bedded Hospital,9.513257719,76.71277416
5144,Kerala,Kottayam,Ettumanoor,Kaipuzhapalli,1204884,House of Devine Providence Hospital Kaippuzha,Kaippuzha P O Kottayam,23-Sep-19,Medical ,Bedded Hospital,9.66996,76.51182833
5145,Kerala,Thrissur,Mathilakam,Colony Padi Bus Stop,1205186,medical,hospital,17-Sep-19,Medical ,Bedded Hospital,10.4006356,76.1180234
5146,Kerala,Wayanad,Kalpetta,Vythiri,1100499,Govt Thaluk Hospital,Vythiri,06-Sep-19,Medical ,Community Health Centre,11.55077343,76.04037626
5147,Kerala,Ernakulam,Kothamangalam,Kulangattupeedika,1194864,LLH hospital,LLH hospital paigottoor,24-Sep-19,Medical ,Bedded Hospital,10.00565236,76.71051137
5148,Kerala,Malappuram,Kuttippuram,AC Nirappu1,1205301,Government homeo dispencery,Marakkara AC nirappu,09-Sep-19,Medical ,Community Health Centre,10.95103679,76.03398652
5149,Kerala,Kollam,Anchal,Anchal,1205552,CHILDRENS HOSPITAL,ANCHAL,12-Nov-19,Medical ,Bedded Hospital,8.92684993,76.91582796
5150,Kerala,Ernakulam,Parakkadavu,Kurumasserry,606198,priya hospital kurumassery,priya hospital kurumassery,04-Oct-19,Medical ,Bedded Hospital,10.17141809,76.33021596
5151,Kerala,Kottayam,Pampady,Kudaloor,1204542,Community health centre koodallor ,Koodallor po kottayam ,23-Sep-19,Medical ,Community Health Centre,9.705751667,76.58821333
5152,Kerala,Kottayam,Uzhavoor,Illakkad,1204592,St George Mount Hospital ,Illakkad,17-Sep-19,Medical ,Bedded Hospital,9.730582237,76.5759784
5153,Kerala,Thrissur,Thalikulam,Edasserry Jn NH,1204756,homeo clinic,edassery,27-Sep-19,Medical ,Community Health Centre,10.45655552,76.08647592
5154,Kerala,Idukki,Idukki,Chelachuvadu,213160,hospital ,chelachuvadu po,25-Sep-19,Medical ,Bedded Hospital,9.92397621,76.95903769
5155,Kerala,Idukki,Idukki,Chelachuvadu,213160,Dispencery ,"Chelachuvadu po
",25-Sep-19,Medical ,Community Health Centre,9.91748474,76.96348912
5156,Kerala,Kottayam,Vazhoor,Ediyiriappuzha Jn,1204861,Community Health Centre ,Ediyirikkapuzha PO Kottayam,31-Aug-19,Medical ,Community Health Centre,9.51536648,76.70826646
5157,Kerala,Idukki,Nedumkandom,Udumbanchola,1069984,family health center,udumbanchola  p o,14-Sep-19,Medical ,Community Health Centre,9.90060219,77.17830725
5158,Kerala,Malappuram,Kuttippuram,Chattipparambu,1205304,ayurjiva hospital,perassannur,14-Dec-19,Medical ,Bedded Hospital,10.84514136,76.07275687
5159,Kerala,Kollam,Anchal,Chanthamukku,1214735,SURYA HOSPITAL,CHANDAMUKKU,15-Sep-19,Medical ,Bedded Hospital,8.92871368,76.90927388
5160,Kerala,Thiruvananthapuram,Vellanad,Choodupalaka,231680,Mamal multi speciality hospital ,choondupalaka,09-Sep-19,Medical ,Bedded Hospital,8.5065841,77.0882839
